caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,caseSelectionAccess,0.448,0.445,0.451,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,governmentRepeatPlayerAdvantage,0.346,0.340,0.352,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,implementationCapacity,0.607,0.606,0.608,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,democraticConstitutionalism,0.545,0.539,0.550,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,vetoRelocationRisk,0.536,0.534,0.538,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,legalTransplantFeasibility,0.644,0.644,0.644,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,politicalCultureSensitivity,0.739,0.738,0.741,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,complianceRate,0.371,0.340,0.402,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,publicTrust,0.028,0.023,0.034,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,directCourtCost,0.307,0.306,0.307,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,upstreamScreeningCost,0.712,0.710,0.714,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,capacityStrainCost,0.413,0.411,0.415,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,institutionalBudgetCost,0.384,0.384,0.385,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,institutionalDelayCost,0.450,0.448,0.452,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,implementationComplexity,0.433,0.433,0.434,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,election_law,totalInstitutionalCost,0.456,0.456,0.457,903,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,reviewRate,1.000,1.000,1.000,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,intakeAcceptanceRate,0.024,0.024,0.025,35759,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,legalStability,0.740,0.729,0.749,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,rightsProtection,0.669,0.660,0.678,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,shadowDocketAbuse,0.557,0.529,0.582,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,emergencyReliefRate,0.646,0.601,0.688,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,emergencyReasonGivingRate,0.036,0.021,0.051,874,cluster-bootstrap-runs-200-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,doctrine,emergency_powers,emergencyVoteDisclosureRate,0.345,0.302,0.391,874,cluster-bootstrap-runs-200-95
