profile,context,left,right,weightDraws,positiveDraws,negativeDraws,tiedDraws,differenceMin,differenceMax,reversesAcrossWeights
recency-weighted-15y,appointmentPolarization-high,reasoned-emergency-review,constitutional-council,1000,943,57,0,-0.02611950045081879,0.1395958631676451,True
recency-weighted-15y,appointmentPolarization-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14497710912850004,0.0065062702864073785,True
recency-weighted-15y,appointmentPolarization-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.26131824305656726,-0.019878405610736505,False
recency-weighted-15y,legislativeConflict-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.21931351049995174,-0.01259117140611321,False
recency-weighted-15y,legislativeConflict-low,current-federal-court,constitutional-council,1000,119,881,0,-0.1896397757549455,0.06816043808182465,True
recency-weighted-15y,legislativeConflict-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2557731188978546,-0.05676767964999063,False
recency-weighted-15y,legislativeConflict-low,reasoned-emergency-review,constitutional-council,1000,994,6,0,-0.005043879373064386,0.14064260552743235,True
recency-weighted-15y,legislativeConflict-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.13799997402119146,0.007042824634801659,True
recency-weighted-15y,legislativeConflict-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.25261190711375725,-0.01667699485929275,False
recency-weighted-15y,legislativeConflict-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19240641511638013,-0.010098960678758262,False
recency-weighted-15y,legislativeConflict-high,current-federal-court,constitutional-council,1000,183,817,0,-0.147643155105174,0.08153697919889058,True
recency-weighted-15y,legislativeConflict-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.2616858484672643,-0.05784340624958584,False
recency-weighted-15y,legislativeConflict-high,reasoned-emergency-review,constitutional-council,1000,992,8,0,-0.008749687751499535,0.13967148519959527,True
recency-weighted-15y,legislativeConflict-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14562638351817625,0.006918133078511746,True
recency-weighted-15y,legislativeConflict-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2690448492595143,-0.02000010952632636,False
recency-weighted-15y,implementationCapacity-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19577890571709966,-0.010926441031263834,False
recency-weighted-15y,implementationCapacity-low,current-federal-court,constitutional-council,1000,130,870,0,-0.17038171155274617,0.06815637784487039,True
recency-weighted-15y,implementationCapacity-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2610581647438467,-0.05842600407145304,False
recency-weighted-15y,implementationCapacity-low,reasoned-emergency-review,constitutional-council,1000,946,54,0,-0.02508343732994822,0.13944978300249344,True
recency-weighted-15y,implementationCapacity-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14388924538900028,0.007046202541133195,True
recency-weighted-15y,implementationCapacity-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.26041441636722257,-0.01808345081469953,False
recency-weighted-15y,implementationCapacity-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19531812085248423,-0.01140919656005035,False
recency-weighted-15y,implementationCapacity-high,current-federal-court,constitutional-council,1000,128,872,0,-0.19068090002519333,0.0699202267045268,True
recency-weighted-15y,implementationCapacity-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.27024173300091847,-0.05832322988293204,False
recency-weighted-15y,implementationCapacity-high,reasoned-emergency-review,constitutional-council,1000,958,42,0,-0.02219183310375128,0.14013503515208559,True
recency-weighted-15y,implementationCapacity-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14323884335623904,0.006865860053044681,True
recency-weighted-15y,implementationCapacity-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2588563948418893,-0.020893172869806298,False
recency-weighted-15y,partyFragmentation-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.1937702664478279,-0.011200458102133881,False
recency-weighted-15y,partyFragmentation-low,current-federal-court,constitutional-council,1000,126,874,0,-0.18856364905729528,0.07010437573088835,True
recency-weighted-15y,partyFragmentation-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.26862824380314865,-0.05815469699542253,False
recency-weighted-15y,partyFragmentation-low,reasoned-emergency-review,constitutional-council,1000,952,48,0,-0.023425581705251886,0.13975075423389516,True
recency-weighted-15y,partyFragmentation-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1436652183817817,0.006041658905471703,True
recency-weighted-15y,partyFragmentation-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2590686954285116,-0.020630002299876105,False
recency-weighted-15y,partyFragmentation-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19500529899152264,-0.011214888534792022,False
recency-weighted-15y,partyFragmentation-high,current-federal-court,constitutional-council,1000,120,880,0,-0.1910572397317839,0.06884166458597618,True
recency-weighted-15y,partyFragmentation-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.25920994954098286,-0.05785312646942453,False
recency-weighted-15y,partyFragmentation-high,reasoned-emergency-review,constitutional-council,1000,934,66,0,-0.030225116415717568,0.13922699313128484,True
recency-weighted-15y,partyFragmentation-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14289362514603277,0.007059805936366126,True
recency-weighted-15y,partyFragmentation-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.25655547814456214,-0.01690846459780715,False
expanding-history,baseline,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19295366765399047,-0.011187237595019606,False
expanding-history,baseline,current-federal-court,constitutional-council,1000,117,883,0,-0.19602533236016084,0.06916775679531845,True
expanding-history,baseline,current-federal-court,weak-form-review,1000,0,1000,0,-0.262115432702164,-0.058035360858920804,False
expanding-history,baseline,reasoned-emergency-review,constitutional-council,1000,932,68,0,-0.03174396686187919,0.13906884964969218,True
expanding-history,baseline,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1434487907473665,0.005826249968315156,True
expanding-history,baseline,constitutional-council,weak-form-review,1000,0,1000,0,-0.25649210741357936,-0.018236000924578444,False
expanding-history,emergencyPressure-low,current-federal-court,reasoned-emergency-review,1000,1,999,0,-0.09258066173560264,0.0020227492157873783,True
expanding-history,emergencyPressure-low,current-federal-court,constitutional-council,1000,403,597,0,-0.11422541853864787,0.10817950204402915,True
expanding-history,emergencyPressure-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2116244642549917,-0.03624670597929791,False
expanding-history,emergencyPressure-low,reasoned-emergency-review,constitutional-council,1000,869,131,0,-0.034906527507413965,0.1304347553105618,True
expanding-history,emergencyPressure-low,reasoned-emergency-review,weak-form-review,1000,0,1000,0,-0.154239164299116,-0.01784638775088343,False
expanding-history,emergencyPressure-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2611192178302,-0.019966606480863125,False
expanding-history,emergencyPressure-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.46309765461446645,-0.02471110243526864,False
expanding-history,emergencyPressure-high,current-federal-court,constitutional-council,1000,69,931,0,-0.26681424106315493,0.070973416306431,True
expanding-history,emergencyPressure-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.3426283660817367,-0.06292675806855336,False
expanding-history,emergencyPressure-high,reasoned-emergency-review,constitutional-council,1000,1000,0,0,0.03189977323141091,0.22255954578843173,False
expanding-history,emergencyPressure-high,reasoned-emergency-review,weak-form-review,1000,617,383,0,-0.0953207884974181,0.14326305904355296,True
