profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,timelyLegislativeResponseRate,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,rightsProtection,registered-component,0.011719735807274185,0.009812098787477732,0.013604482267110678,0.0009977818267214893,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,complianceRate,registered-component,0.36781250000000004,0.3496875,0.3851067708333333,0.00899791654708885,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,democraticResponsiveness,registered-component,0.0574002578505736,0.05503263945181381,0.05982818259556465,0.0012444723034505535,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,vetoRelocationRisk,registered-component,-0.3205289463647712,-0.32176704542359036,-0.3193158065433164,0.0006312265952674464,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,totalInstitutionalCost,registered-diagnostic,-0.09409831270359668,-0.09428019387448128,-0.09391120089923839,9.676316614067515e-05,120,2000
frozen-generator,baseline,weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,averageLegislativeResponseDelay,additional-diagnostic,0.4977318604772361,0.4948986392709913,0.5005248931551722,0.0014580127840917716,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,legislativeResponseRate,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,legislativeResponseCredibility,registered-component,-0.5501838674139401,-0.5509979050964725,-0.5494092912030553,0.0004266392205509201,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,timelyLegislativeResponseRate,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,rightsProtection,registered-component,0.003553276834556986,0.0014895420922079435,0.005664934920016105,0.001063333718106421,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,complianceRate,registered-component,0.35864583333333333,0.3412473958333333,0.37479427083333333,0.00881130464176348,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,democraticResponsiveness,registered-component,0.033762620550287066,0.03159145734682839,0.03604392567779367,0.001209022118105353,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,vetoRelocationRisk,registered-component,-0.29527983136981195,-0.29575900444874814,-0.2947929962241966,0.00025000094042719424,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,totalInstitutionalCost,registered-diagnostic,-0.09556731125600629,-0.09575954342805587,-0.09537090710565312,9.877813261005715e-05,120,2000
frozen-generator,baseline,weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,averageLegislativeResponseDelay,additional-diagnostic,0.0,0.0,0.0,0.0,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,emergencyReasonGivingRate,registered-component,-0.013072390572390572,-0.03284164562289563,0.009863741582491568,0.01081992378781879,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,meritsFollowUpRate,registered-component,0.016666666666666666,0.0,0.041666666666666664,0.011735491270876315,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,averageTimeToReview,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,totalInstitutionalCost,registered-component,0.013712440394173525,0.013631483101504803,0.013792634305642546,4.092434740256365e-05,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,shadowDocketAbuse,registered-component,-0.046068724217799416,-0.049606769152563485,-0.04245752527217923,0.0018779996830169436,120,2000
frozen-generator,emergencyPressure-low,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,institutionalDelayCost,additional-diagnostic,0.002887927081160882,0.0027914785785931764,0.0029832843073810717,4.9070844589132575e-05,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,directCourtCost,registered-diagnostic,0.1375280666666667,0.13741691250000004,0.13763779270833337,5.781674024750884e-05,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,upstreamScreeningCost,registered-component,0.0004331949872358141,0.0003993208332512822,0.00046818206999106105,1.7643825211726087e-05,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,capacityStrainCost,registered-diagnostic,0.07926054665815725,0.07889439554122568,0.07961684653560508,0.00018485890181488612,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,totalInstitutionalCost,registered-diagnostic,0.08602351907989862,0.08593673335511337,0.08610720989351894,4.437469871380614e-05,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,intakeAcceptanceRate,registered-diagnostic,-0.00015372829733619752,-0.00016648030688194162,-0.0001414543898800877,6.374611433601854e-06,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,councilScreenRate,registered-component,1.0,1.0,1.0,0.0,120,2000
frozen-generator,emergencyPressure-low,screening-base,screening,constitutional-council,current-federal-court,base,administrativeLoad,additional-diagnostic,0.2682708333333334,0.2676655625000001,0.26885859375,0.0003134027483602165,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseRate,registered-component,0.34322916666666664,0.33375,0.35229166666666667,0.004954926020730787,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseCredibility,registered-component,0.05832291666666659,0.05701015624999992,0.05950427083333321,0.0006531007424383927,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,timelyLegislativeResponseRate,registered-component,0.08294049438651223,0.07450342419421851,0.09150220986012159,0.004481264239808394,120,2000
