caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,strict-recusal-court,Strict recusal with substitute justices,period,4,120,12.000,-0.003,0.901,0.587,0.732,0.765,0.459,5.506
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,1,120,9.000,0.027,1.360,0.651,0.730,0.798,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,2,120,9.000,0.024,1.377,0.651,0.727,0.800,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,3,120,9.000,0.015,1.394,0.650,0.732,0.798,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,4,120,9.000,0.021,1.389,0.648,0.730,0.798,0.362,3.258
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,panel-en-banc-review,Panel review with en banc safety valve,period,1,120,15.000,-0.003,0.637,0.558,0.736,0.750,0.000,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,panel-en-banc-review,Panel review with en banc safety valve,period,2,120,15.000,0.009,0.686,0.557,0.732,0.749,0.459,6.882
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,panel-en-banc-review,Panel review with en banc safety valve,period,3,120,15.000,-0.008,0.713,0.556,0.736,0.748,0.459,6.882
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,panel-en-banc-review,Panel review with en banc safety valve,period,4,120,15.000,-0.010,0.738,0.556,0.736,0.748,0.459,6.882
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,1,120,18.000,-0.003,0.828,0.566,0.748,0.804,0.000,0.000
